iter	MultiClass
0	1.02112209
1	0.9562360493
2	0.9020137091
3	0.8619923136
4	0.8259668769
5	0.7944370804
6	0.7615767223
7	0.7372815809
8	0.7119368527
9	0.6924062536
10	0.6745095521
11	0.6587980292
12	0.6454612354
13	0.6317255056
14	0.6185673113
15	0.606301124
16	0.5930540641
17	0.5837917096
18	0.5762055158
19	0.5666884345
20	0.5599752142
21	0.554722838
22	0.5467654035
23	0.5394592268
24	0.5319216002
25	0.5256109547
26	0.5181198551
27	0.5128140636
28	0.5083021433
29	0.5039511967
30	0.4978424824
31	0.4933692997
32	0.4883014718
33	0.4848705542
34	0.4796316768
35	0.4762643555
36	0.4734937641
37	0.4700390599
38	0.4677487388
39	0.4621036194
40	0.457026884
41	0.4509249912
42	0.4490588083
43	0.4471424382
44	0.4434195815
45	0.43959909
46	0.4359556938
47	0.4342994027
48	0.4313862705
49	0.4276408129
50	0.4258935702
51	0.4225608094
52	0.4196951993
53	0.4174262572
54	0.4118929332
55	0.4097780595
56	0.4081819167
57	0.4066819862
58	0.4035394446
59	0.4014762403
60	0.3998458725
61	0.3961654462
62	0.3925484804
63	0.3891652176
64	0.3876094694
65	0.3855650872
66	0.3830730949
67	0.3803931718
68	0.3795305709
69	0.3774716287
70	0.3757557948
71	0.3737958595
72	0.3709682539
73	0.3698490549
74	0.3672435943
75	0.3664775939
76	0.3635119074
77	0.3624823224
78	0.359834243
79	0.3585926304
80	0.3566205723
81	0.3549194757
82	0.3534145052
83	0.3520866845
84	0.3506581117
85	0.3470974583
86	0.3453348242
87	0.3434406268
88	0.3419842448
89	0.3403832174
90	0.3392723051
91	0.3383078703
92	0.3360650035
93	0.3332071138
94	0.3321035348
95	0.3294662596
96	0.3278602225
97	0.3270715433
98	0.3253893292
99	0.3224510494
