iter	Passed	Remaining
0	4	441
1	8	413
2	12	410
3	16	394
4	20	387
5	24	384
6	28	379
7	32	369
8	35	363
9	39	359
10	43	352
11	47	346
12	50	340
13	54	337
14	58	332
15	62	327
16	66	323
17	71	326
18	75	320
19	79	316
20	82	310
21	86	305
22	89	300
23	93	296
24	97	293
25	102	290
26	105	285
27	110	283
28	114	280
29	119	278
30	123	274
31	127	270
32	133	271
33	137	267
34	150	279
35	157	279
36	162	276
37	168	274
38	173	270
39	177	266
40	183	264
41	187	259
42	193	255
43	197	251
44	202	247
45	206	242
46	210	237
47	214	232
48	218	227
49	221	221
50	225	216
51	229	211
52	232	206
53	236	201
54	240	196
55	243	191
56	247	186
57	250	181
58	254	176
59	258	172
60	261	167
61	265	162
62	268	157
63	272	153
64	275	148
65	279	143
66	282	139
67	286	134
68	289	130
69	293	125
70	296	121
71	300	117
72	304	112
73	308	108
74	311	103
75	315	99
76	319	95
77	323	91
78	326	86
79	330	82
80	333	78
81	337	73
82	340	69
83	343	65
84	347	61
85	351	57
86	355	53
87	358	48
88	362	44
89	365	40
90	369	36
91	372	32
92	376	28
93	379	24
94	383	20
95	386	16
96	389	12
97	393	8
98	397	4
99	400	0
