iter	MultiClass
0	1.021771121
1	0.9581962778
2	0.9076162074
3	0.8685521322
4	0.8342374082
5	0.8021833993
6	0.7691486787
7	0.7405155192
8	0.7167013739
9	0.6983544973
10	0.6818082897
11	0.6649183713
12	0.6424375613
13	0.628488477
14	0.6163077973
15	0.606164464
16	0.5934234043
17	0.5847952373
18	0.5755466586
19	0.5677034826
20	0.5606513293
21	0.5510437194
22	0.5465019164
23	0.5388015555
24	0.5333999817
25	0.5272588744
26	0.5228092591
27	0.5186466178
28	0.5120467934
29	0.507753805
30	0.5035336384
31	0.4985941665
32	0.4956188605
33	0.4902812376
34	0.4855280847
35	0.48175868
36	0.4773998425
37	0.4721220912
38	0.4691158539
39	0.4657739689
40	0.4588333827
41	0.4534799363
42	0.4499272522
43	0.44591224
44	0.4412444483
45	0.4371574996
46	0.4338698692
47	0.4295245067
48	0.4256004628
49	0.4207209673
50	0.4181329017
51	0.4141748271
52	0.4119885028
53	0.4071103954
54	0.405917317
55	0.4048926624
56	0.4032211336
57	0.4018368382
58	0.3992444092
59	0.3970487055
60	0.3941399387
61	0.3925636423
62	0.3903257414
63	0.3869192025
64	0.3842914554
65	0.3816757653
66	0.3793781349
67	0.3778597245
68	0.3749102798
69	0.3724727279
70	0.3704707494
71	0.3676282268
72	0.3641631254
73	0.3634411805
74	0.3605503271
75	0.3600641033
76	0.3575795255
77	0.3545465096
78	0.3527585541
79	0.3514928447
80	0.349093739
81	0.3478090788
82	0.3458097954
83	0.345295772
84	0.3422299284
85	0.3397977062
86	0.3376505203
87	0.3351320669
88	0.3332097018
89	0.3323646328
90	0.3312033509
91	0.3289935968
92	0.3275165469
93	0.325977852
94	0.3240822038
95	0.3228043839
96	0.3217168418
97	0.319121954
98	0.3170321187
99	0.3153662234
