iter	Passed	Remaining
0	12	1213
1	26	1292
2	37	1202
3	45	1092
4	56	1081
5	63	999
6	72	958
7	81	936
8	88	893
9	96	869
10	103	837
11	109	806
12	117	783
13	126	776
14	135	769
15	143	752
16	149	730
17	155	707
18	163	698
19	168	672
20	173	654
21	181	642
22	187	627
23	193	612
24	199	597
25	204	581
26	209	565
27	213	549
28	218	535
29	223	521
30	228	508
31	233	495
32	237	481
33	243	471
34	247	459
35	251	446
36	254	433
37	258	421
38	262	410
39	265	398
40	269	387
41	272	376
42	275	365
43	279	355
44	282	345
45	285	335
46	289	325
47	292	316
48	295	307
49	299	299
50	302	291
51	306	282
52	309	274
53	313	266
54	316	258
55	319	251
56	323	243
57	326	236
58	329	229
59	333	222
60	337	215
61	341	209
62	344	202
63	347	195
64	351	189
65	354	182
66	358	176
67	361	170
68	365	164
69	368	157
70	372	152
71	376	146
72	381	141
73	384	135
74	388	129
75	392	124
76	396	118
77	400	112
78	404	107
79	407	101
80	411	96
81	415	91
82	419	85
83	422	80
84	426	75
85	429	69
86	434	64
87	438	59
88	442	54
89	446	49
90	449	44
91	453	39
92	456	34
93	460	29
94	463	24
95	466	19
96	470	14
97	474	9
98	477	4
99	481	0
